,z < 2.6,2.6 < z < 3.6,z > 3.5
10,0.016020248763359717,0.34015545498558386,1.808547131322344
20,0.02984655904111618,0.5737009705819817,2.3960413245229417
30,0.04190289272762367,0.7476843325965093,2.7402178627617424
40,0.05251011626830526,0.8839470173582663,2.977463314565524
50,0.06191566265164013,0.9943776797950495,3.1549300419841466
60,0.07031347438577322,1.086139380072392,3.294503142023587
70,0.0778577617881336,1.1638653595684105,3.408095260505238
80,0.08467271054007292,1.2307142819163785,3.5028851841680337
90,0.09085946838048511,1.2889287707192914,3.5835177093764483
100,0.09650126303042852,1.3401534405451907,3.653160649526409
