,Star-forming,Quiescent,Dusty
0,0.8688095030133636,0.06830290855096514,0.05196960433225609
10,0.8688095030133636,0.06830290855096514,0.05196960433225609
20,0.868896846886191,0.06821556467813783,0.05196960433225609
30,0.8689841907590182,0.06821556467813783,0.05196960433225609
40,0.8689841907590182,0.06821556467813783,0.05196960433225609
50,0.8689841907590182,0.06821556467813783,0.05196960433225609
60,0.868896846886191,0.06821556467813783,0.052144292077910735
70,0.8688095030133636,0.06821556467813783,0.052231635950738056
80,0.868896846886191,0.06821556467813783,0.052231635950738056
90,0.868896846886191,0.06821556467813783,0.052231635950738056
100,0.868896846886191,0.06821556467813783,0.052231635950738056
