,AGN Contribution (%),Star-forming,Quiescent,Dusty
0,10,0.012396284944815835,0.04091401611761653,0.04935403589180226
1,20,0.024180835881665242,0.0792497840764817,0.09473972696899734
2,30,0.035398477524808555,0.11526614615649833,0.13666682930426274
3,40,0.04608970297059275,0.14918625220619441,0.17555659462894985
4,50,0.056291190751510685,0.18120376437449115,0.2117608233448977
5,60,0.06603624876948878,0.21148777405874794,0.24557608628798278
6,70,0.07535519700843155,0.2401867387033293,0.2772545100619861
7,80,0.08427569874417142,0.2674316636509393,0.30701207311675094
8,90,0.09282304823221024,0.29333869612900126,0.335035069003478
9,100,0.10102042145951405,0.31801125686519216,0.36148520013955565
