Alpha,Quiescent,Star Forming (VJ >0.5),Star Forming (VJ <0.5),Dusty
0.0,0.0,0.0,0.0,0.0
10.0,0.10028762501504067,0.05356718678677143,0.026046714438015702,0.1374920860516164
20.0,0.18602143550320804,0.09686013259537954,0.048387221531339536,0.24718989082635567
30.000000000000004,0.2609140030380022,0.13421882253830938,0.06802488211487154,0.3379601992723237
40.0,0.32732067433168993,0.16732960188554763,0.08558453581623778,0.41499462529513975
50.0,0.386867278539051,0.19712444061612963,0.10148414725883624,0.4816093518332946
60.00000000000001,0.4407381124179115,0.2242110357635894,0.11601880708851742,0.5400566205362163
70.0,0.48982911652831773,0.24902341971770275,0.12940582983012605,0.5919376595162059
80.0,0.5348375913322128,0.2718894124378216,0.14181075054795056,0.6384320012289734
90.0,0.5763184490711577,0.2930660391323236,0.15336318435414775,0.6804335840451481
100.0,0.6147213258543962,0.3127602734955192,0.16416696125726313,0.7186358707048157
